transid	transname                        	subsysid	trantype	tranmode	tranlevel	runmode	comlinetype	msgtype	vermacflg	vertellerflg	verbranchflg	rsvflag1	rsvflag2	rsvflag3	rsvflag4	rsvflag5	rsvflag6	rsvitem1                         	rsvitem2                         	rsvitem3                         	rsvitem4                         	rsvitem5                         	rsvitem6                         
806005 	用客户号查询余额                 	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
806004 	通知登记簿查询                   	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
806003 	存款帐户明细查询                 	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
806002 	帐户多分户查询                   	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
806001 	帐户余额查询                     	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	pubFeeApi                        	                                 	                                 	                                 	                                 	tpmpssrv                         
805038 	查询特约商户资料                 	mps     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805037 	自动产生特约商户代码             	mps     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805036 	检查商户代码                     	mps     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805034 	查询特约商户资料                 	mps     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805033 	删除特约商户资料                 	mps     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805032 	修改特约商户资料                 	mps     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805031 	建立特约商户资料                 	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805024 	银联受理方对帐明细               	mps     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	                                 
805023 	银联交易明细打印                 	mps     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805022 	银联差错调整处理                 	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805021 	银联差错调整                     	mps     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805020 	前置银联对账差错文件导入         	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805012 	外围系统返回主机日期             	MPS     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	0       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805011 	客户身份验证                     	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805010 	退货通知交易                     	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805009 	通知存款通知及撤销               	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805008 	补打发票凭证付出                 	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805007 	委托关系维护                     	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805006 	差错通知交易                     	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805005 	收付费通知交易                   	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805004 	修改密码                         	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805003 	补登存折                         	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805002 	外围帐户挂失/撤挂接口            	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
805001 	止付/撤消止付                    	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804677 	POS资金手工划拨                  	dps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	pubFeeApi                        	                                 	                                 	                                 	                                 	tpdpssrv                         
804675 	POS缴费录入                      	mps     	        	        	         	1      	           	       	0        	2           	0           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804674 	POS缴费撤销                      	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804673 	公共资源缴费录入                 	mps     	        	        	         	1      	           	       	0        	2           	0           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804671 	公共资源缴费撤销                 	mps     	        	        	         	1      	           	       	0        	2           	0           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804669 	市民之家POS缴费登记簿查询        	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	        	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804668 	市民之家POS资金清分查询          	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	        	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
